States,Sector,Yearly Sales,Sales,Revenue,Area (Sq Ft),Profit per Sq Ft,Property Tax Rate,Property Tax Amount,Growth Rate
Madhya Pradesh,Industrial,Dec-2022,14,48102635,3956,12159.4122851365,14.1063436807813,6785523.0126118,4.86665328521268
Madhya Pradesh,Residential,Jan-2021,270,16186144,4006,4040.4752870694,14.4696132963798,2342072.44439519,-0.452654163585074
Tamil Nadu,Industrial,Nov-2024,63,11356760,907,12521.2348401323,13.8754574345949,1575802.3997491,-0.556489742117739
Tamil Nadu,Residential,Oct-2021,56,46850911,3211,14590.7539707256,15.5395065962828,7280400.40526356,0.593698145811718
Tamil Nadu,Commercial,Feb-2023,224,49330419,3588,13748.7232441472,8.56150202562209,4223424.82193287,-0.751789409453787
Delhi,Industrial,Jun-2022,186,19220027,2168,8865.32610701107,12.6854566631869,2438148.19573781,31.2917076090386
Rajasthan,Residential,Aug-2022,18,23784856,647,36761.7557959815,6.56337204212522,1561088.58896374,-0.448542989628371
Gujarat,Commercial,Aug-2024,108,9205956,4827,1907.1796146675,10.7676699146722,991266.954569959,-0.797667693098914
Rajasthan,Industrial,Feb-2023,29,32946436,4397,7492.93518307937,12.315006029319,4057355.57984571,-0.24284363026585
Maharashtra,Industrial,Nov-2024,387,10214891,2450,4169.34326530612,14.7833638931821,1510104.50782191,0.169726457786736
Rajasthan,Residential,Sep-2023,250,25758148,865,29778.2057803468,19.2579657887931,4960495.32966668,2.34665137383337
Delhi,Residential,Jun-2023,70,2820688,2174,1297.46458141674,14.0097659982253,395171.788340022,5.27825356884887
Maharashtra,Residential,Feb-2023,388,2305808,4994,461.715658790549,16.1539087426484,372478.120100686,0.585834977675386
Rajasthan,Commercial,Feb-2023,499,10209175,3046,3351.66611950099,12.593990892428,1285742.56969204,-0.620127341782532
Delhi,Residential,Dec-2023,428,38274891,1062,36040.3870056497,14.511560470645,5554283.95253845,-0.116659889712831
Gujarat,Industrial,Oct-2024,187,38590551,4062,9500.38183161004,6.0639832420066,2340124.54563801,-0.322117741133686
Rajasthan,Industrial,Jul-2023,347,31549883,2989,10555.3305453329,8.8158737126277,2781397.8417618,0.37483525399255
Delhi,Residential,Mar-2021,71,21292686,1272,16739.5330188679,10.4277963980771,2220357.94376186,-0.554200259889511
Tamil Nadu,Residential,Jul-2024,154,38709230,2537,15257.8754434371,12.0874003250977,4678939.59286282,-0.47831291893455
Madhya Pradesh,Retail,Apr-2022,225,48883877,3923,12460.8404282437,5.68473118253576,2778916.99905143,0.95991609192111
Tamil Nadu,Industrial,Sep-2021,12,12166027,3067,3966.7515487447,7.10036146329977,863831.892722645,42.5100756368983
Madhya Pradesh,Commercial,Jun-2021,169,37676570,2073,18174.9011095031,9.15221461686959,3448240.5466751,-0.406006510739606
Karnataka,Retail,Apr-2020,236,11429084,4194,2725.10348116357,19.5729903635158,2237013.50995812,-0.0530432653117927
Karnataka,Residential,Jul-2022,495,13117619,3791,3460.20021102612,9.97020510654576,1307853.51939522,0.204980261983416
Karnataka,Residential,Feb-2020,278,18215057,1746,10432.4495990836,12.2306158716812,2227813.65247778,-0.516947392662476
Gujarat,Industrial,Mar-2022,129,10455661,4219,2478.23204550841,7.94146569107589,830332.731090203,0.335951223544612
Tamil Nadu,Residential,Dec-2022,390,44359585,4339,10223.4581700853,14.1617010661365,6282071.82187874,0.854946883746083
Madhya Pradesh,Commercial,Jun-2023,98,21209657,859,24691.1024447031,9.21024823273961,1953462.05901263,-0.61882545023709
Delhi,Industrial,Jan-2022,338,35261500,2876,12260.6050069541,8.1048886765764,2857905.32069099,0.404562885371902
Maharashtra,Residential,Mar-2020,77,26060098,3509,7426.64519806213,12.7485894266897,3322294.89821297,-0.983683894032141
Delhi,Industrial,Sep-2024,407,35441412,3493,10146.4105353564,5.08258698740631,1801340.59446506,-0.56955164328399
Maharashtra,Residential,Aug-2023,366,45299034,1462,30984.291381669,5.11496048973838,2317027.69133316,48.2951709453917
Uttar Pradesh,Residential,Dec-2024,107,16202852,4132,3921.30977734753,8.28603213652787,1342573.52375405,-0.830958383009894
Delhi,Residential,Mar-2024,276,41555392,2327,17857.9252256124,5.55082043751232,2306665.19202436,0.348091234986942
Rajasthan,Commercial,Mar-2022,114,31573264,2113,14942.3871273072,6.62038631196037,2090272.04809511,0.00636562883718161
Rajasthan,Commercial,Dec-2023,449,28613586,2140,13370.8345794393,10.0829097400813,2885082.04978053,0.523266000570702
West Bengal,Industrial,Jan-2023,332,44836333,2716,16508.2227540501,17.0387851936972,7639566.46860077,0.158347525047524
Tamil Nadu,Residential,Dec-2023,132,3540267,4812,735.716334164589,13.5807296505395,480794.090177266,0.212957291011374
Maharashtra,Residential,Sep-2020,485,33649417,877,38368.7765108324,12.6900158893463,4270116.36397238,-0.468413203393009
Maharashtra,Commercial,Apr-2022,38,29508147,4714,6259.68328383538,9.40233234812182,2774454.05071234,-0.957743314773082
Tamil Nadu,Residential,Feb-2022,146,10185684,4785,2128.66959247649,18.9763057914922,1932866.5427951,-0.196839645323859
Gujarat,Commercial,Jan-2023,204,48376337,869,55668.9723820483,10.9552256185579,5299736.86434389,1.23588542923929
West Bengal,Residential,Feb-2025,418,21717066,2696,8055.29154302671,6.30639150193657,1369563.20469396,-0.415544044509312
Gujarat,Industrial,Dec-2024,235,8036765,4247,1892.33929832823,14.255997741767,1145721.03691112,-0.629171000106536
Gujarat,Residential,Feb-2022,341,46158328,1151,40102.8045178106,6.70757590214902,3096104.8857629,0.172784742079797
Gujarat,Residential,Sep-2022,179,19173436,1269,15109.0906225374,10.1783471420254,1951538.87513407,-0.10576541410071
Tamil Nadu,Retail,Nov-2024,18,37193176,2921,12733.0284149264,12.6111790807671,4690498.0311849,-0.698135314720635
Gujarat,Commercial,Jan-2022,472,9035078,1280,7058.6546875,18.1133378702776,1636554.20498312,2.76112837927937
Rajasthan,Residential,Jun-2021,49,7435774,2216,3355.49368231047,12.4031987051018,922273.824482295,-0.497173871432264
Karnataka,Residential,Aug-2021,34,18644439,4483,4158.92014276154,15.533881490475,2896205.0588239,0.562191136368277
Uttar Pradesh,Retail,Jan-2023,270,26720970,1811,14754.8150193263,19.8922525849861,5315402.84555835,-0.277574857466954
Maharashtra,Retail,Jun-2020,404,19705297,3859,5106.32210417207,6.97233679846972,1373919.67397875,0.414652974875608
Maharashtra,Commercial,Jun-2022,452,46087883,1022,45095.7759295499,9.12097288279279,4203663.31068327,13.7694284854821
Uttar Pradesh,Retail,Feb-2020,235,4773445,1021,4675.26444662096,10.9186411339647,521195.329277181,-0.50206898248368
Tamil Nadu,Industrial,Dec-2020,481,3684790,2820,1306.66312056738,11.3274226780825,417391.738099715,0.14052094462208
Delhi,Retail,Feb-2025,133,33634205,1435,23438.4703832753,11.1653161289832,3755365.31572027,1.86814051824959
Tamil Nadu,Industrial,Oct-2020,472,47980620,2730,17575.3186813187,18.6141650383483,8931191.79322277,-0.500197763774337
Maharashtra,Commercial,Sep-2024,47,13029971,4540,2870.03766519824,15.7104896670029,2047072.24756847,-0.156868636617631
Maharashtra,Commercial,Nov-2021,337,7181935,4197,1711.20681439123,14.1185782113606,1013987.11006408,-0.361123408698209
Uttar Pradesh,Commercial,Jun-2024,260,10463441,3337,3135.58315852562,9.64059076794173,1008737.52705503,0.865628966897764
Gujarat,Commercial,Sep-2022,398,7189142,4583,1568.65415666594,17.3568557633194,1247809.00756022,-0.799259646260188
Tamil Nadu,Commercial,Jun-2022,185,26836263,2961,9063.24316109423,19.3259076722748,5186351.41006885,-0.225868623273009
Madhya Pradesh,Industrial,Sep-2022,99,5490961,3743,1466.99465669249,17.3179742382534,950923.211412541,0.277065359068104
Uttar Pradesh,Industrial,Nov-2022,411,4146804,3859,1074.57994299041,5.02347657787209,208313.727670263,-0.505837149454294
Rajasthan,Commercial,Dec-2024,463,1147296,1185,968.182278481013,14.5460205527511,166885.911960891,-0.898148733628442
Maharashtra,Retail,Feb-2023,46,3622951,2660,1362.01165413534,5.76703072163151,208936.697199656,-0.137343168452104
Uttar Pradesh,Residential,Mar-2024,325,27344511,4488,6092.80548128342,8.86410830500583,2423847.07051423,1.4998728789862
Tamil Nadu,Commercial,May-2021,185,1300101,4566,284.735216819974,5.89287050521658,76613.2683670258,8.26393365777892
Maharashtra,Retail,Jan-2023,470,38155044,2067,18459.1407837446,14.0569317942408,5363428.51114257,-0.645284470241201
Delhi,Residential,Sep-2022,293,44402446,538,82532.4275092937,15.2988487023891,6793063.03370002,0.529010789218633
Uttar Pradesh,Commercial,Feb-2023,462,23155061,3044,7606.78745072273,6.71731457098858,1555398.28647429,-0.349845795341005
West Bengal,Commercial,Oct-2021,470,23291342,1756,13263.8621867882,10.7575832456747,2505585.50468479,-0.592895076453692
Maharashtra,Industrial,May-2024,90,22515777,3490,6451.51203438395,11.8435476343331,2666666.77423522,-0.885397145909913
Tamil Nadu,Residential,Dec-2020,123,23616992,2696,8760.0118694362,10.5357953264138,2488237.93937551,0.104310679237877
Karnataka,Residential,Oct-2024,49,43407958,3968,10939.5055443548,6.8153750072779,2958415.12070169,-0.509415356181873
Madhya Pradesh,Retail,Feb-2024,310,42939798,3208,13385.2238154614,11.2842168528121,4845419.92247949,-0.912473404787044
Telangana,Industrial,Sep-2021,233,31055353,801,38770.7278401998,16.2676707171263,5051982.5660812,1.82630415649585
Gujarat,Industrial,Aug-2021,327,49346793,1146,43060.0287958115,6.06511496799883,2992939.7284704,-0.929302522684694
Telangana,Industrial,Dec-2020,358,8621757,2259,3816.62549800797,6.20270021122855,534781.739650612,-0.741636715409715
Tamil Nadu,Industrial,Mar-2024,124,42471665,4851,8755.23912595341,10.3215693775398,4383742.36877127,-0.466532247868527
Rajasthan,Residential,Dec-2021,195,36887984,1097,33626.2388331814,19.1258856742839,7055153.64738813,-0.0932910807168597
Rajasthan,Residential,Aug-2024,332,12320569,1161,10612.0318690784,15.0285897008437,1851607.76381934,0.898642358717931
Karnataka,Commercial,Feb-2023,65,41430951,4830,8577.83664596273,15.1800493500885,6289238.80801097,-0.00372812685321111
Gujarat,Commercial,Jul-2022,49,22979150,1868,12301.4721627409,10.428799862568,2396449.56361929,1.30385252824933
West Bengal,Industrial,Dec-2023,363,35331079,3081,11467.4063615709,13.9049118681281,4912755.39700871,-0.495152127208294
Karnataka,Industrial,Dec-2020,49,12931216,4368,2960.44322344322,5.15196776041615,666212.079349775,1.87690918821641
Telangana,Industrial,Apr-2020,356,16540922,4037,4097.33019568987,14.5414406961431,2405288.36322529,-0.366736550365698
Karnataka,Commercial,Aug-2021,470,39471207,4808,8209.48564891847,18.6993042136436,7380841.07372697,-0.635370136524409
Telangana,Retail,Jul-2021,246,9204813,782,11770.8606138107,14.1886020251723,1306034.28373132,-0.0508716749124974
Maharashtra,Retail,Mar-2020,298,20421696,4178,4887.91191957875,18.1054789019952,3697445.86070959,-0.413668605253495
Rajasthan,Commercial,Feb-2023,271,29961504,1986,15086.3564954683,15.8595958319914,4751773.43958594,-0.681974260564335
Maharashtra,Commercial,Dec-2022,225,14997054,4582,3273.0366652117,6.80837624605535,1021055.86214409,2.08185412117053
Madhya Pradesh,Commercial,Nov-2021,156,11819247,4683,2523.86226777707,18.5367996092876,2190910.13171674,0.5077647534293
Gujarat,Commercial,Sep-2021,345,14413140,960,15013.6875,5.99665766533662,864306.664625699,0.507720113466357
West Bengal,Commercial,Feb-2020,177,46548559,2825,16477.3660176991,13.0095120882165,6055740.40999557,0.765847859484894
Telangana,Commercial,Aug-2023,101,46060900,4254,10827.6680771039,7.13205685690187,3285089.57680071,2.27583621034356
West Bengal,Industrial,Dec-2024,362,21217501,2968,7148.75370619946,5.17559916096356,1098132.80373344,2.96182537214157
Telangana,Industrial,Nov-2022,68,7351803,2224,3305.66681654676,11.3305139019146,832997.060956374,-0.611666337245233
Tamil Nadu,Industrial,Nov-2020,68,13545697,1876,7220.52078891258,9.42561061481234,1276764.65428232,-0.8625452704279
Karnataka,Industrial,Mar-2020,313,48620511,3243,14992.4486586494,12.2900074069641,5975464.40320377,-0.230848066638115
Madhya Pradesh,Commercial,May-2024,178,6242533,1014,6156.34418145957,13.6579983010183,852605.051080504,0.0514362958597165
Rajasthan,Retail,Jan-2021,278,24601438,1202,20467.0865224626,5.65608608463421,1391478.51133791,-0.474435938914927
Telangana,Residential,Feb-2024,372,36681576,2153,17037.4249883883,6.84504942685619,2510872.00774982,4.14803217688553
West Bengal,Commercial,Jan-2024,54,30838208,2566,12018.0077942323,13.3796359467564,4126039.9629035,-0.55787245978875
Madhya Pradesh,Residential,Apr-2024,354,3325896,522,6371.44827586207,10.1475102975899,337495.63908713,-0.129727686613687
Delhi,Retail,Apr-2024,190,38991224,2960,13172.7108108108,15.9376023132417,6214266.21818526,-0.738300828702201
Delhi,Industrial,Apr-2021,179,49370063,1804,27366.9972283814,14.7843747288791,7299055.11780369,-0.214499969220794
Maharashtra,Retail,Apr-2022,365,10927148,3800,2875.5652631579,17.6840654448486,1932364.00357547,2.71169495546518
Rajasthan,Commercial,Jan-2024,200,5376872,861,6244.91521486643,15.3873924000384,827360.393487792,2.17412212565565
Tamil Nadu,Industrial,May-2024,164,19897196,4227,4707.16725810267,11.4489661608522,2278023.23699844,22.4187043459194
West Bengal,Commercial,May-2024,431,32435646,1784,18181.4159192825,15.0944993359165,4895998.37007022,-0.307650110442969
Karnataka,Industrial,Jul-2021,197,17998600,1014,17750.0986193294,9.13071761383128,1643401.34044304,0.234080501949889
Karnataka,Residential,Apr-2021,16,15599203,948,16454.8554852321,9.59470248167319,1496697.11736224,0.695172928719235
West Bengal,Residential,Apr-2020,142,42962817,2355,18243.2343949045,16.8347773988119,7232694.60620892,-0.798609253520277
Gujarat,Residential,Jul-2023,244,16820131,4062,4140.84958148695,11.6962927460237,1967331.76202469,-0.156180844575868
Tamil Nadu,Retail,Feb-2024,54,49219461,3020,16297.8347682119,16.9757051077753,8355350.55499647,0.996808407697394
Madhya Pradesh,Commercial,Oct-2024,323,3387698,3581,946.02010611561,17.3363356050242,587302.694564692,0.282297415876634
Telangana,Retail,May-2021,258,47619813,1928,24699.0731327801,17.8634350649193,8506534.37329098,-0.341595996086016
Gujarat,Residential,May-2023,40,46673665,4467,10448.5482426685,18.7495285376181,8751092.13872728,0.120603383157461
Telangana,Commercial,Nov-2020,32,12917420,1422,9083.98030942335,11.4647783076994,1480953.56607443,-0.592995067610127
Telangana,Residential,May-2022,435,4531464,3637,1245.93456145175,9.78300227481708,443313.226202517,0.612109048980555
Gujarat,Retail,Jan-2024,403,20667958,2659,7772.83113952614,13.7329811989117,2838326.78633897,0.261509644268527
Maharashtra,Retail,Feb-2024,169,41412236,3047,13591.1506399737,10.5675863515644,4376273.79941365,0.457334207866026
Delhi,Retail,Sep-2023,372,23410282,3479,6729.02615694165,14.0161125020035,3281211.46215627,5.15443907664607
Telangana,Residential,May-2021,446,3387296,2781,1218.01366414959,15.5837879396574,527869.025528497,0.150604370069021
Gujarat,Commercial,Apr-2020,167,47031927,3149,14935.5119085424,15.3260752773821,7208148.53642337,-0.607433284599679
Gujarat,Commercial,May-2024,48,36791014,813,45253.3997539975,10.6182933053018,3906577.77651466,-0.351244346076148
Uttar Pradesh,Residential,Dec-2024,424,25233272,3113,8105.77320912303,7.50290302548129,1893227.92831592,-0.466349739895797
Maharashtra,Commercial,Jul-2020,91,1600500,3583,446.692715601451,11.4579400769331,183384.330931315,-0.412744380383924
Rajasthan,Residential,Apr-2020,365,22871392,2756,8298.76342525399,7.13891216122863,1632768.58493027,-0.393409211659314
Uttar Pradesh,Commercial,Sep-2021,267,30936427,1537,20127.7989590111,18.3514555277571,5677284.64278205,1.8952941108684
Uttar Pradesh,Industrial,May-2021,215,2461977,3989,617.191526698421,10.1881619110679,250830.202973251,0.624930709384136
West Bengal,Industrial,Jun-2021,86,24327142,3134,7762.32992980217,7.31689620834986,1779991.73059789,-0.344161202587654
Delhi,Retail,Dec-2021,486,4532654,4483,1011.07606513495,5.38171639858626,243934.583609176,-0.573787445590547
Gujarat,Industrial,May-2021,21,34718900,2278,15240.9569798069,14.6873357942973,5099281.42708627,28.3866677401758
Delhi,Industrial,Dec-2023,304,23777458,4395,5410.11558589306,14.5535347618212,3460460.61550742,0.897894561323491
Tamil Nadu,Industrial,Feb-2025,459,7478140,1624,4604.76600985222,10.1090624987194,755969.846341733,0.122369280184628
West Bengal,Residential,Oct-2024,233,48576248,1197,40581.6608187135,6.07567833271477,2951336.57458179,6.66288303288399
Rajasthan,Industrial,Sep-2020,22,12248768,2679,4572.14184397163,11.1444334234285,1365055.79495021,-0.641622657371245
Delhi,Industrial,Aug-2021,55,14111312,1904,7411.40336134454,9.6682624259509,1364318.6759047,-0.349347041286869
Karnataka,Retail,Sep-2020,164,30218818,1543,19584.4575502268,15.1568095960251,4580208.70642937,-0.524929548978388
Telangana,Industrial,Jul-2024,122,37091531,2429,15270.2885961301,14.0866887417904,5224968.52153468,8.78797867603151
Tamil Nadu,Industrial,Sep-2020,242,46438649,1513,30693.0925313946,10.4689059229631,4861618.47570504,-0.0568910821799354
Maharashtra,Commercial,Jun-2023,26,38882858,726,53557.6556473829,8.26838831382485,3214985.68695311,-0.389121976633721
Rajasthan,Retail,Dec-2021,369,42155138,2328,18107.8771477663,19.8205394923339,8355375.77533785,0.129431497534752
Tamil Nadu,Retail,May-2024,232,8879341,2523,3519.35830360682,11.8100243179417,1048652.33137297,0.777597594572399
Telangana,Retail,Feb-2022,363,43945065,2952,14886.5396341463,15.3241135367036,6734191.65437818,0.467387012373418
West Bengal,Retail,Aug-2021,197,40633569,2585,15718.982205029,7.10829451367541,2888353.75593751,0.546133469098601
Telangana,Retail,Jan-2020,457,45034701,4783,9415.57620740121,12.283845494891,5531993.08992612,-0.347025303265616
Uttar Pradesh,Retail,Aug-2021,353,2412584,1580,1526.95189873418,5.41305079804198,130594.397465433,0.71169144525877
Telangana,Residential,Nov-2022,374,21054754,2820,7466.22482269504,12.5818267686568,2649072.67484683,-0.475354760636541
Uttar Pradesh,Industrial,Dec-2023,172,48232820,3690,13071.2249322493,19.4602611067655,9386232.71115623,0.831070683861869
West Bengal,Retail,Apr-2021,335,17502265,3130,5591.77795527157,10.763100694787,1883786.40581846,0.0657704288055585
Madhya Pradesh,Industrial,Oct-2022,476,15346767,3063,5010.37120470127,5.58494018862367,857107.757837436,0.488698670117827
Uttar Pradesh,Industrial,Dec-2024,423,15177441,3792,4002.48971518987,5.46433686379015,829346.503543001,0.293631730992133
Maharashtra,Residential,Apr-2021,464,45304549,4086,11087.7506118453,10.819801399203,4901862.22660463,-0.629822549465147
Telangana,Retail,Aug-2023,83,34801851,4931,7057.76738998175,7.40037404694791,2575467.14926148,0.586655687019471
Telangana,Commercial,Jul-2022,242,43522964,3447,12626.331302582,5.35028144492279,2328601.06717243,1.07355045272115
Maharashtra,Residential,May-2020,233,5938684,4459,1331.84211706661,16.3432042092527,970571.253462214,3.88570874143241
Karnataka,Commercial,Sep-2020,491,22815019,3313,6886.5134319348,11.8778451332284,2709932.62393663,1.07261671156121
Gujarat,Industrial,Jan-2023,328,36435364,3083,11818.1524489134,9.33867157958982,3402578.9827881,-0.528629241577628
Madhya Pradesh,Industrial,Mar-2023,421,35709185,661,54022.9727685325,18.5012477452472,6606644.78465866,-0.664499480563368
Rajasthan,Residential,Feb-2025,69,47739471,1093,43677.4666056725,6.74208440300788,3218635.42836947,0.861367728292979
Uttar Pradesh,Residential,Apr-2021,344,9293380,3759,2472.30114392126,19.3387824343298,1797226.53899552,0.1811099268418
Maharashtra,Commercial,May-2020,231,10604107,4655,2278.00365198711,9.70950076066029,1029605.84982623,1.45613142116352
West Bengal,Retail,Dec-2024,46,34625539,3462,10001.5999422299,18.3260550846302,6345495.35049012,0.512594053572571
Uttar Pradesh,Commercial,May-2021,486,16564554,4388,3774.96672743847,14.0441431471919,2326349.67545391,0.201851562423796
Gujarat,Residential,Nov-2022,287,11405942,3890,2932.11876606684,17.4006103961223,1984703.52942768,-0.817581899373866
West Bengal,Commercial,Mar-2020,205,2586213,1163,2223.74290627687,19.760197448157,511040.795229904,2.33799811525924
Tamil Nadu,Residential,Aug-2023,413,10802330,1632,6619.07475490196,9.32608156728119,1007434.10696689,-0.212815609234459
Telangana,Commercial,Apr-2021,361,24591050,1041,23622.5264169068,19.4170322811139,4774852.11676486,0.117610142175375
Tamil Nadu,Residential,Feb-2024,493,11699468,3474,3367.72251007484,10.8422284235363,1268483.04489853,-0.506993131336082
Uttar Pradesh,Residential,Mar-2021,251,42991924,1367,31449.8346744696,10.7826785710538,4635680.97643175,2.04067979977626
Gujarat,Residential,Jan-2022,333,36053686,2566,14050.5401402962,10.1058065638176,3643515.76628618,3.67141282785982
Madhya Pradesh,Retail,Apr-2021,228,39099274,931,41997.0719656284,13.1211141102138,5130260.35780515,1.09092282364816
Uttar Pradesh,Commercial,Sep-2021,201,32982294,4778,6902.94976977815,7.31217564767731,2411723.26991333,-0.94970269806546
Maharashtra,Commercial,Oct-2021,26,26653295,1706,15623.2678780774,13.3056722803702,3546400.08462029,-0.472463454489987
Delhi,Commercial,May-2022,21,29919310,3028,9880.88177014531,13.1255721861501,3927080.63164801,4.41130727910077
Uttar Pradesh,Residential,Mar-2023,415,38210964,1669,22894.5260635111,16.4285271890731,6277498.60994692,0.116960482491976
Telangana,Commercial,Dec-2024,410,32306587,1330,24290.6669172932,17.5047494290638,5655187.1034325,-0.590537213362671
Telangana,Commercial,Sep-2023,403,7092910,2151,3297.49418874942,11.6066202546864,823247.128706674,1.43615592491856
Uttar Pradesh,Residential,Jul-2024,383,39615544,1636,24214.880195599,9.53499874027241,3777341.62135206,-0.47918653978339
West Bengal,Industrial,Dec-2021,202,22660074,3310,6845.94380664653,8.89002345975642,2014485.89459816,0.0406954580080976
Delhi,Residential,Jan-2023,31,22294866,975,22866.5292307692,7.91935755057308,1765610.15396115,-0.41973717541293
Maharashtra,Commercial,Apr-2020,483,41964131,3310,12677.9851963746,5.86471373298537,2461076.15368497,0.0407621879683788
Uttar Pradesh,Residential,Nov-2021,129,45310380,1826,24814.008762322,10.1367196825207,4592986.20768492,-0.193982280438103
West Bengal,Industrial,Apr-2024,219,34312949,1519,22589.1698485846,9.05371538196175,3106596.74161769,-0.0977779780971975
Telangana,Residential,Aug-2020,315,30815282,2336,13191.4734589041,19.4962607879961,6007827.74127642,-0.630606639027121
Telangana,Commercial,Oct-2020,279,33445953,4756,7032.37026913373,13.3656323937507,4470263.12856662,0.0896008953930121
Gujarat,Industrial,Oct-2022,201,43800173,2948,14857.5892130258,10.2091555854576,4471627.8082696,1.46303975870654
Uttar Pradesh,Retail,May-2024,184,6928540,4793,1445.55393281869,13.7070140149054,949695.948828329,-0.00250166887678571
Delhi,Commercial,Jan-2021,294,34759907,1783,19495.1805945037,7.08795052018543,2463765.00902247,-0.109670448659986
Karnataka,Industrial,Nov-2024,213,29605135,1159,25543.6885245902,11.660656238033,3452153.0211556,-0.610620387982959
Delhi,Industrial,Oct-2022,173,32539284,2510,12963.8581673307,14.393514821316,4683546.66529009,-0.947199093140243
Telangana,Retail,Jan-2020,260,16060243,898,17884.4576837417,12.3334674768868,1980784.84711398,-0.0600085346247388
Telangana,Residential,Jun-2020,236,45231930,2233,20256.1262875056,11.0266820098149,4987581.08800205,2.14076561097513
Tamil Nadu,Residential,Nov-2023,445,33703868,2625,12839.5687619048,19.9077258334955,6709673.63672322,0.363646449622894
Telangana,Commercial,Sep-2024,390,26917902,2671,10077.8367652565,18.2047214322339,4900329.07450172,-0.93170741953888
Maharashtra,Retail,Nov-2020,469,4838843,574,8430.04006968641,14.3510893723916,694426.683519715,-0.000307017330660298
Rajasthan,Residential,Jan-2025,16,34478658,3971,8682.61344749433,13.5406604177342,4668637.99637196,-0.216760230424593
Uttar Pradesh,Retail,Oct-2020,38,12556199,1336,9398.35254491018,14.3099071973688,1796780.42441694,0.541369416212858
Delhi,Residential,Nov-2020,404,49897865,999,49947.8128128128,8.0196816173365,4001649.90684838,-0.347180281151801
Rajasthan,Industrial,Dec-2022,42,4617923,637,7249.48665620094,10.9270661489648,504603.500918259,1.57619628203601
West Bengal,Residential,Feb-2022,143,40358177,2597,15540.3068925684,5.59189299336349,2256786.07191224,-0.0130070863326656
Karnataka,Retail,Jul-2020,376,30560464,4196,7283.23736892278,12.1331905623024,3707959.33384382,8.07918230529938
Maharashtra,Industrial,Feb-2022,88,34753388,2385,14571.6511530398,13.145368759365,4568461.00897289,3.20472851285931
Delhi,Industrial,Nov-2024,425,31849379,3257,9778.74700644765,8.41624604154814,2680522.09934517,25.208541597563
Rajasthan,Industrial,Jul-2022,444,46344569,4420,10485.1966063348,19.4604327074827,9018853.66381789,-0.259431172026377
Karnataka,Retail,Aug-2023,468,29946493,2400,12477.7054166667,18.6418191640586,5582571.07103748,-0.766166554201799
Tamil Nadu,Commercial,Jun-2023,67,40333034,3110,12968.821221865,15.8321485318386,6385585.85027696,0.434346438728229
Maharashtra,Commercial,Nov-2022,480,40197758,4486,8960.71288452965,13.0007994314804,5226029.89353188,-0.794030091354134
Maharashtra,Commercial,Aug-2022,35,675211,1949,346.439712673166,18.0495373947153,121872.461938231,6.43446101767925
Tamil Nadu,Retail,Dec-2024,491,41574249,1046,39745.9359464627,6.95978515735194,2893478.41118254,-0.630189878384065
Uttar Pradesh,Industrial,Apr-2022,439,12981574,2503,5186.40591290451,16.8576469141233,2188387.90881563,-0.181645092984151
Tamil Nadu,Commercial,Jul-2022,235,41467052,2596,15973.4406779661,6.87231220950272,2849745.27751684,-0.400176031690225
Maharashtra,Retail,Oct-2021,294,25931622,1203,21555.795511222,16.9131599382411,4385856.70344011,-0.472204800799507
Maharashtra,Commercial,Jul-2020,13,21168329,2903,7291.88046848088,9.13651352377035,1934047.2418412,0.00480164060768584
Rajasthan,Residential,Jun-2024,474,28686921,2125,13499.7275294118,18.1563587152728,5208500.28112693,0.21166003594564
Telangana,Commercial,Jul-2022,108,49902807,3831,13026.0524667189,19.160631407381,9561692.91120671,8.8261788017431
Karnataka,Commercial,Aug-2020,406,42598723,3478,12248.05146636,7.23193954107673,3080713.89263075,0.829068405655006
Tamil Nadu,Industrial,Dec-2023,498,11892083,3339,3561.57023060797,11.9401340759809,1419930.65462693,-0.331577111015523
Karnataka,Retail,Aug-2022,48,38785173,3884,9985.88388259526,19.7148106724403,7646423.42592843,-0.384477284495076
Tamil Nadu,Industrial,May-2020,280,39659558,3159,12554.4659702438,12.2511115395972,4858736.68669124,-0.660875292893708
West Bengal,Industrial,Jun-2020,384,14452821,2361,6121.48284625159,17.9532128377182,2594745.71518443,-0.114942404142281
Maharashtra,Industrial,Sep-2021,294,14894752,3356,4438.24553039333,13.8309728319698,2060089.10250928,0.668154156448538
Telangana,Industrial,Dec-2020,166,47204300,1185,39834.8523206751,10.629948618794,5017792.83586139,0.565473073631164
Rajasthan,Industrial,Nov-2022,84,35509897,4783,7424.18921179176,9.28675333288805,3297716.54315262,1.33118626706472
Telangana,Commercial,Jun-2020,381,13081422,2119,6173.39405379896,8.04834636629131,1052838.15219623,-0.13867283218595
Telangana,Industrial,Dec-2021,297,11598252,1931,6006.34489901605,16.4269728706655,1905241.70951141,-0.113237462055255
Telangana,Industrial,Jun-2023,139,34266262,1375,24920.9178181818,10.7981076023454,3700107.8420616,0.134795143845117
Karnataka,Retail,Sep-2021,184,29228437,2961,9871.13711583924,12.6691319330113,3702989.24548708,5.3298532711048
Tamil Nadu,Residential,Apr-2020,471,40041461,1865,21469.9522788204,12.3848822000177,4959087.77601604,1.02767943458865
Madhya Pradesh,Commercial,Jan-2025,93,40571048,1743,23276.562248996,13.659185438497,5541674.68066162,-0.968487323702601
